,Video File Name,Video Number,Video Duration,Transcript Text
0,Video1.mp4,1,9.17,It was kind of a drive. It was like a four hour drive for me. But I drove out to see the specialist and they are the ones who diagnosed me.
1,Video2.mp4,2,14.1,"We should really approach every single person that we meet, if we want to speak to them with a genuine interest, to want to know more about them and to want to be in that conversation with them. That energy, that vibe, it really shows. Let."
2,Video3.mp4,3,5.97,"Have disorder. I might want to look up. Oh, and she did. She's going to flunk tomorrow's test, so she really needs to focus. And she's sorry that makes her she have cold."
3,Video4.mp4,4,2.53,"Thank you, sir. But for my English teachers, the only."
4,Video5.mp4,5,4.77,"Gifted. And I usually believe them, but I can't be sure because sometimes people lie."
5,Video6.mp4,6,4.6,I could see the world in a new way. I could see details that other people were blind to.
6,Video7.mp4,7,3.53,This message at young men to begin with. It just kind of turned out that way.
7,Video8.mp4,8,9.1,Is illegally paying them less than one to do the same job. You've got only seven women running the top FTSE 100 companies.
8,Video9.mp4,9,3.23,Cyber web developers when you can build anything you need with AI.
9,Video10.mp4,10,11.23,"Particular in Catholic parishes. Your predecessor testified in this information. I just want to reiterate. This memo became public because of whistleblower. It was not turned over this committee, it was not disclosed. It was."
10,Video11.mp4,11,9.47,And these chatbots and these generative AI are getting coupled with actual humans who are using them and releasing them because they can do the work faster and quicker than humans can.
11,Video12.mp4,12,7.8,"The place was a couple of weeks ago, before Charlie lost his life. Charlie was in."
12,Video13.mp4,13,5.4,"Waters of chuck schumer, aoc of bernie sanders. All of these bastards."
13,Video14.mp4,14,13.47,"Should have right at the start of their podcasting journey. And we're not talking about microphones, headphones, cover art, those sort of things, although those things are obviously very important. Before worrying about any of that, there are a few things that you need to get clear on in this episode of Podcast."
14,Video15.mp4,15,6.53,"Drinking and doing drugs and all of that stuff, which I was never allowed to do, which I never did do in high school. And my curfew is always, like, test."
15,Video16.mp4,16,5.43,"But I just got in a car accident. I almost died. My body is bruised up. Please, please come over like."
16,Video17.mp4,17,9.07,"Asking where her dad is. Literally. I still got videos, and that haunts me. She literally would cry for her dad at the door, and all that rage caught over me. Then you had the nerve to say,"
